PassengerId,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,title,Survived
1,3,1,22,1,0,0,7.25,137,2,11,0
2,1,0,38,1,0,5,71.2833,81,0,12,1
3,3,0,26,0,0,7,7.925,56,2,8,1
4,1,0,35,1,0,6,53.1,55,2,12,1
5,3,1,35,0,0,7,8.05,78,2,11,0
6,3,1,35,0,0,7,8.4583,56,1,11,0
7,1,1,54,0,0,6,51.8625,129,2,11,0
8,3,1,2,3,1,8,21.075,40,2,7,0
9,3,0,27,0,2,7,11.1333,56,2,12,1
10,2,0,14,1,0,6,30.0708,141,0,12,1
11,3,0,4,1,1,7,16.7,145,2,8,1
12,1,0,58,0,0,6,26.55,49,2,8,1
13,3,1,20,0,0,2,8.05,58,2,11,0
14,3,1,39,1,5,7,31.275,116,2,11,0
15,3,0,14,0,0,7,7.8542,116,2,8,0
16,2,0,55,0,0,6,16.0,123,2,12,1
17,3,1,2,4,1,6,29.125,86,1,7,0
18,2,1,34,0,0,7,13.0,47,2,11,1
19,3,0,31,1,0,6,18.0,103,2,12,0
20,3,0,19,0,0,7,7.225,134,0,12,1
21,2,1,35,0,0,7,26.0,74,2,11,0
22,2,1,34,0,0,7,13.0,111,2,11,1
23,3,0,15,0,0,7,8.0292,90,1,8,1
24,1,1,28,0,0,6,35.5,13,2,11,1
25,3,0,8,3,1,8,21.075,58,2,8,0
26,3,0,38,1,5,7,31.3875,34,2,12,1
27,3,1,28,0,0,6,7.225,36,0,11,0
28,1,1,19,3,2,7,263.0,63,2,11,0
29,3,0,19,0,0,7,7.8792,121,1,8,1
30,3,1,21,0,0,6,7.8958,101,2,11,0
31,1,1,40,0,0,5,27.7208,47,0,2,0
32,1,0,17,1,0,5,146.5208,41,0,12,1
33,3,0,16,0,0,6,7.75,140,1,8,1
34,2,1,66,0,0,4,10.5,47,2,11,0
35,1,1,28,1,0,5,82.1708,19,0,11,0
36,1,1,42,1,0,6,52.0,17,2,11,0
37,3,1,28,0,0,6,7.2292,35,0,11,1
38,3,1,21,0,0,3,8.05,102,2,11,0
39,3,0,18,2,0,6,18.0,103,2,8,0
40,3,0,14,1,0,6,11.2417,32,0,8,1
41,3,0,40,1,0,7,9.475,142,2,12,0
42,2,0,27,1,0,6,21.0,98,2,12,0
43,3,1,22,0,0,7,7.8958,94,0,11,0
44,2,0,3,1,2,6,41.5792,121,0,8,1
45,3,0,19,0,0,7,7.8792,120,1,8,1
46,3,1,21,0,0,5,8.05,20,2,11,0
47,3,1,26,1,0,6,15.5,145,1,11,0
48,3,0,21,0,0,6,7.75,24,1,8,1
49,3,1,26,2,0,7,21.6792,47,0,11,0
50,3,0,18,1,0,6,17.8,63,2,12,0
51,3,1,7,4,1,7,39.6875,116,2,7,0
52,3,1,21,0,0,6,7.8,31,2,11,0
53,1,0,49,1,0,5,76.7292,101,0,12,1
54,2,0,29,1,0,7,26.0,134,2,12,1
55,1,1,65,0,1,6,61.9792,23,0,11,0
56,1,1,28,0,0,7,35.5,71,2,11,1
57,2,0,21,0,0,5,10.5,75,2,8,1
58,3,1,28,0,0,6,7.2292,98,0,11,0
59,2,0,5,1,2,5,27.75,144,2,8,1
60,3,1,11,5,2,4,46.9,47,2,7,0
61,3,1,22,0,0,7,7.2292,98,0,11,0
62,1,0,38,0,0,6,80.0,21,2,8,1
63,1,1,45,1,0,7,83.475,80,2,11,0
64,3,1,4,3,2,7,27.9,87,2,7,0
65,1,1,28,0,0,5,27.7208,86,0,11,0
66,3,1,3,1,1,6,15.2458,31,0,7,1
67,2,0,29,0,0,5,10.5,142,2,12,1
68,3,1,19,0,0,7,8.1583,21,2,11,0
69,3,0,17,4,2,6,7.925,19,2,8,1
70,3,1,26,2,0,5,8.6625,120,2,11,0
71,2,1,32,0,0,4,10.5,145,2,11,0
72,3,0,16,5,2,4,46.9,57,2,8,0
73,2,1,21,0,0,6,73.5,78,2,11,0
74,3,1,26,1,0,7,14.4542,74,0,11,0
75,3,1,32,0,0,6,56.4958,103,2,11,1
76,3,1,25,0,0,7,7.65,140,2,11,0
77,3,1,28,0,0,7,7.8958,140,2,11,0
78,3,1,22,0,0,7,8.05,121,2,11,0
79,2,1,0,0,2,6,29.0,63,2,7,1
80,3,0,30,0,0,6,12.475,55,2,8,1
81,3,1,22,0,0,6,9.0,140,2,11,0
82,3,1,29,0,0,6,9.5,55,2,11,1
83,3,0,19,0,0,7,7.7875,98,1,8,1
84,1,1,28,0,0,6,47.1,116,2,11,0
85,2,0,17,0,0,6,10.5,62,2,8,1
86,3,0,33,3,0,6,15.85,128,2,12,1
87,3,1,16,1,3,7,34.375,32,2,11,0
88,3,1,30,0,0,9,8.05,94,2,11,0
89,1,0,23,3,2,7,263.0,63,2,8,1
90,3,1,24,0,0,6,8.05,145,2,11,0
91,3,1,29,0,0,6,8.05,78,2,11,0
92,3,1,20,0,0,7,7.8542,123,2,11,0
93,1,1,46,1,0,6,61.175,122,2,11,0
94,3,1,26,1,2,4,20.575,78,2,11,0
95,3,1,59,0,0,7,7.25,20,2,11,0
96,3,1,29,0,0,7,8.05,78,2,11,0
97,1,1,71,0,0,5,34.6542,12,0,11,0
98,1,1,23,0,1,5,63.3583,91,0,11,1
99,2,0,34,0,1,5,23.0,32,2,12,1
100,2,1,34,1,0,7,26.0,120,2,11,0
101,3,0,28,0,0,7,7.8958,87,2,8,0
102,3,1,27,0,0,6,7.8958,118,2,11,0
103,1,1,21,0,1,5,77.2875,98,2,11,0
104,3,1,33,0,0,7,8.6542,61,2,11,0
105,3,1,37,2,0,6,7.925,57,2,11,0
106,3,1,28,0,0,6,7.8958,144,2,11,0
107,3,0,21,0,0,7,7.65,63,2,8,1
108,3,1,21,0,0,6,7.775,32,2,11,1
109,3,1,38,0,0,7,7.8958,116,2,11,0
110,3,0,26,1,0,5,24.15,20,1,8,1
111,1,1,47,0,0,6,52.0,52,2,11,0
112,3,0,14,1,0,7,14.4542,87,0,8,0
113,3,1,22,0,0,7,8.05,116,2,11,0
114,3,0,20,1,0,7,9.825,103,2,8,0
115,3,0,17,0,0,6,14.4583,87,0,8,0
116,3,1,21,0,0,6,7.925,24,2,11,0
117,3,1,70,0,0,8,7.75,94,1,11,0
118,2,1,29,1,0,6,21.0,55,2,11,0
119,1,1,24,0,1,5,247.5208,36,0,11,0
120,3,0,2,4,2,7,31.275,141,2,8,0
121,2,1,21,2,0,6,73.5,142,2,11,0
122,3,1,20,0,0,5,8.05,57,2,11,0
123,2,1,32,1,0,6,30.0708,141,0,11,0
124,2,0,32,0,0,6,13.0,116,2,8,1
125,1,1,54,0,1,5,77.2875,98,2,11,0
126,3,1,12,1,0,6,11.2417,36,0,7,1
127,3,1,21,0,0,7,7.75,31,1,11,0
128,3,1,24,0,0,5,7.1417,94,2,11,1
129,3,0,4,1,1,7,22.3583,138,0,8,1
130,3,1,45,0,0,7,6.975,90,2,11,0
131,3,1,33,0,0,6,7.8958,118,0,11,0
132,3,1,20,0,0,8,7.05,118,2,11,0
133,3,0,47,1,0,4,14.5,141,2,12,0
134,2,0,29,1,0,6,26.0,47,2,12,1
135,2,1,25,0,0,3,13.0,56,2,11,0
136,2,1,23,0,0,6,15.0458,40,0,11,0
137,1,0,19,0,2,5,26.2833,107,2,8,1
138,1,1,37,1,0,6,53.1,55,2,11,0
139,3,1,16,0,0,7,9.2167,101,2,11,0
140,1,1,24,0,0,5,79.2,45,0,11,0
141,3,0,45,0,2,6,15.2458,40,0,12,0
142,3,0,22,0,0,7,7.75,61,2,8,1
143,3,0,24,1,0,7,15.85,75,2,12,1
144,3,1,19,0,0,6,6.75,137,1,11,0
145,2,1,18,0,0,6,11.5,35,2,11,0
146,2,1,19,1,1,4,36.75,120,2,11,0
147,3,1,27,0,0,7,7.7958,128,2,11,1
148,3,0,9,2,2,7,34.375,102,2,8,0
149,2,1,36,0,2,7,26.0,141,2,11,0
150,2,1,42,0,0,6,13.0,63,2,14,0
151,2,1,51,0,0,5,12.525,63,2,14,0
152,1,0,22,1,0,6,66.6,61,2,12,1
153,3,1,55,0,0,3,8.05,134,2,11,0
154,3,1,40,0,2,4,14.5,96,2,11,0
155,3,1,21,0,0,5,7.3125,31,2,11,0
156,1,1,51,0,1,5,61.3792,63,0,11,0
157,3,0,16,0,0,6,7.7333,87,1,8,1
158,3,1,30,0,0,9,8.05,80,2,11,0
159,3,1,36,0,0,6,8.6625,118,2,11,0
160,3,1,11,8,2,5,69.55,55,2,7,0
161,3,1,44,0,1,7,16.1,47,2,11,0
162,2,0,40,0,0,6,15.75,144,2,12,1
163,3,1,26,0,0,7,7.775,90,2,11,0
164,3,1,17,0,0,7,8.6625,62,2,11,0
165,3,1,1,4,1,7,39.6875,20,2,7,0
166,3,1,9,0,2,6,20.525,40,2,7,1
167,1,0,22,0,1,6,55.0,123,2,12,1
168,3,0,45,1,4,7,27.9,123,2,12,0
169,1,1,62,0,0,5,25.925,98,2,11,0
170,3,1,28,0,0,6,56.4958,90,2,11,0
171,1,1,61,0,0,6,33.5,18,2,11,0
172,3,1,4,4,1,6,29.125,78,1,7,0
173,3,0,1,1,1,7,11.1333,24,2,8,1
174,3,1,21,0,0,6,7.925,35,2,11,0
175,1,1,56,0,0,6,30.6958,14,0,11,0
176,3,1,18,1,1,7,7.8542,62,2,11,0
177,3,1,1,3,1,7,25.4667,20,2,7,0
178,1,0,50,0,0,5,28.7125,69,0,8,0
179,2,1,30,0,0,7,13.0,121,2,11,0
180,3,1,36,0,0,8,0.0,20,2,11,0
181,3,0,16,8,2,5,69.55,87,2,8,0
182,2,1,23,0,0,5,15.05,61,0,11,0
183,3,1,9,4,2,7,31.3875,61,2,7,0
184,2,1,1,2,1,6,39.0,144,2,7,1
185,3,0,4,0,2,6,22.025,40,2,8,1
186,1,1,61,0,0,6,50.0,9,2,11,0
187,3,0,24,1,0,8,15.5,121,1,12,1
188,1,1,45,0,0,6,26.55,116,2,11,1
189,3,1,40,1,1,8,15.5,71,1,11,0
190,3,1,36,0,0,6,7.8958,103,2,11,0
191,2,0,32,0,0,7,13.0,57,2,12,1
192,2,1,19,0,0,7,13.0,47,2,11,0
193,3,0,19,1,0,7,7.8542,141,2,8,1
194,2,1,3,1,1,7,26.0,141,2,7,1
195,1,0,44,0,0,5,27.7208,28,0,12,1
196,1,0,58,0,0,5,146.5208,43,0,8,1
197,3,1,19,0,0,7,7.75,134,1,11,0
198,3,1,42,0,1,6,8.4042,128,2,11,0
199,3,0,22,0,0,7,7.75,34,1,8,1
200,2,0,24,0,0,6,13.0,63,2,8,0
201,3,1,28,0,0,6,9.5,142,2,11,0
202,3,1,14,8,2,5,69.55,57,2,11,0
203,3,1,34,0,0,7,6.4958,75,2,11,0
204,3,1,45,0,0,7,7.225,101,0,11,0
205,3,1,18,0,0,5,8.05,90,2,11,1
206,3,0,2,0,1,7,10.4625,145,2,8,0
207,3,1,32,1,0,6,15.85,63,2,11,0
208,3,1,26,0,0,7,18.7875,47,0,11,1
209,3,0,16,0,0,6,7.75,137,1,8,1
210,1,1,40,0,0,6,31.0,8,0,11,1
211,3,1,24,0,0,7,7.05,47,2,11,0
212,2,0,35,0,0,6,21.0,21,2,8,1
213,3,1,22,0,0,1,7.25,32,2,11,0
214,2,1,30,0,0,7,13.0,121,2,11,0
215,3,1,30,1,0,7,7.75,62,1,11,0
216,1,0,31,1,0,5,113.275,103,0,8,1
217,3,0,27,0,0,7,7.925,141,2,8,1
218,2,1,42,1,0,7,27.0,55,2,11,0
219,1,0,32,0,0,5,76.2917,93,0,8,1
220,2,1,30,0,0,6,10.5,116,2,11,0
221,3,1,16,0,0,9,8.05,62,2,11,1
222,2,1,27,0,0,7,13.0,98,2,11,0
223,3,1,51,0,0,6,8.05,71,2,11,0
224,3,1,24,0,0,7,7.8958,57,2,11,0
225,1,1,38,1,0,7,90.0,87,2,11,1
226,3,1,22,0,0,7,9.35,120,2,11,0
227,2,1,19,0,0,6,10.5,137,2,11,1
228,3,1,20,0,0,1,7.25,86,2,11,0
229,2,1,18,0,0,5,13.0,116,2,11,0
230,3,0,2,3,1,7,25.4667,17,2,8,0
231,1,0,35,1,0,7,83.475,80,2,12,1
232,3,1,29,0,0,7,7.775,90,2,11,0
233,2,1,59,0,0,6,13.5,40,2,11,0
234,3,0,5,4,2,7,31.3875,55,2,8,1
235,2,1,24,0,0,5,10.5,87,2,11,0
236,3,0,45,0,0,7,7.55,101,2,8,0
237,2,1,44,1,0,6,26.0,86,2,11,0
238,2,0,8,0,2,4,26.25,96,2,8,1
239,2,1,19,0,0,7,10.5,19,2,11,0
240,2,1,33,0,0,6,12.275,56,2,11,0
241,3,0,14,1,0,7,14.4542,20,0,8,0
242,3,0,30,1,0,7,15.5,31,1,8,1
243,2,1,29,0,0,6,10.5,145,2,11,0
244,3,1,22,0,0,6,7.125,63,2,11,0
245,3,1,30,0,0,7,7.225,62,0,11,0
246,1,1,44,2,0,7,90.0,78,1,3,0
247,3,0,25,0,0,6,7.775,62,2,8,0
248,2,0,24,0,2,7,14.5,24,2,12,1
249,1,1,37,1,1,5,52.5542,102,2,11,1
250,2,1,54,1,0,6,26.0,63,2,14,0
251,3,1,17,0,0,6,7.25,20,2,11,0
252,3,0,29,1,1,7,10.4625,145,2,12,0
253,1,1,62,0,0,6,26.55,83,2,11,0
254,3,1,30,1,0,5,16.1,61,2,11,0
255,3,0,41,0,2,7,20.2125,47,2,12,0
256,3,0,29,0,2,7,15.2458,56,0,12,1
257,1,0,49,0,0,5,79.2,120,0,12,1
258,1,0,30,0,0,5,86.5,40,2,8,1
259,1,0,35,0,0,5,512.3292,141,0,8,1
260,2,0,50,0,1,7,26.0,40,2,12,1
261,3,1,29,0,0,7,7.75,94,1,11,0
262,3,1,3,4,2,7,31.3875,80,2,7,1
263,1,1,52,1,1,6,79.65,134,2,11,0
264,1,1,40,0,0,6,0.0,46,2,11,0
265,3,0,22,0,0,7,7.75,74,1,8,0
266,2,1,36,0,0,4,10.5,142,2,11,0
267,3,1,16,4,1,7,39.6875,36,2,11,0
268,3,1,25,1,0,7,7.775,140,2,11,1
269,1,0,58,0,1,5,153.4625,57,2,12,1
270,1,0,35,0,0,5,135.6333,89,2,8,1
271,1,1,61,0,0,6,31.0,36,2,11,0
272,3,1,25,0,0,8,0.0,63,2,11,1
273,2,0,41,0,1,7,19.5,56,2,12,1
274,1,1,37,0,1,5,29.7,54,0,11,0
275,3,0,22,0,0,7,7.75,142,1,8,1
276,1,0,63,1,0,6,77.9583,113,2,8,1
277,3,0,45,0,0,7,7.75,98,2,8,0
278,2,1,40,0,0,7,0.0,62,2,11,0
279,3,1,7,4,1,6,29.125,144,1,7,0
280,3,0,35,1,1,4,20.25,47,2,12,1
281,3,1,65,0,0,8,7.75,56,1,11,0
282,3,1,28,0,0,7,7.8542,140,2,11,0
283,3,1,16,0,0,6,9.5,17,2,11,0
284,3,1,19,0,0,4,8.05,144,2,11,1
285,1,1,61,0,0,6,26.0,3,2,11,0
286,3,1,33,0,0,7,8.6625,34,0,11,0
287,3,1,30,0,0,6,9.5,31,2,11,1
288,3,1,22,0,0,7,7.8958,98,2,11,0
289,2,1,42,0,0,6,13.0,20,2,11,1
290,3,0,22,0,0,7,7.75,145,1,8,1
291,1,0,26,0,0,7,78.85,32,2,8,1
292,1,0,19,1,0,6,91.0792,31,0,12,1
293,2,1,36,0,0,6,12.875,90,0,11,0
294,3,0,24,0,0,7,8.85,142,2,8,0
295,3,1,24,0,0,7,7.8958,47,2,11,0
296,1,1,24,0,0,5,27.7208,34,0,11,0
297,3,1,23,0,0,7,7.2292,87,0,11,0
298,1,0,2,1,2,6,151.55,62,2,8,0
299,1,1,28,0,0,7,30.5,51,2,11,1
300,1,0,50,0,1,5,247.5208,36,0,12,1
301,3,0,22,0,0,7,7.75,55,1,8,1
302,3,1,16,2,0,7,23.25,144,1,11,1
303,3,1,19,0,0,8,0.0,96,2,11,0
304,2,0,30,0,0,7,12.35,116,1,8,1
305,3,1,30,0,0,4,8.05,74,2,11,0
306,1,1,0,1,2,6,151.55,62,2,7,1
307,1,0,30,0,0,6,110.8833,31,0,8,1
308,1,0,17,1,0,5,108.9,74,0,12,1
309,2,1,30,1,0,6,24.0,57,0,11,0
310,1,0,30,0,0,5,56.9292,125,0,8,1
311,1,0,24,0,0,5,83.1583,72,0,8,1
312,1,0,18,2,2,5,262.375,35,0,8,1
313,2,0,26,1,1,6,26.0,55,2,12,0
314,3,1,28,0,0,7,7.8958,78,2,11,0
315,2,1,43,1,1,6,26.25,101,2,11,0
316,3,0,26,0,0,7,7.8542,47,2,8,1
317,2,0,24,1,0,7,26.0,90,2,12,1
318,2,1,54,0,0,6,14.0,121,2,3,0
319,1,0,31,0,2,7,164.8667,76,2,8,1
320,1,0,40,1,1,7,134.5,124,0,12,1
321,3,1,22,0,0,1,7.25,90,2,11,0
322,3,1,27,0,0,6,7.8958,120,2,11,0
323,2,0,30,0,0,6,12.35,75,1,8,1
324,2,0,22,1,1,6,29.0,141,2,12,1
325,3,1,14,8,2,5,69.55,141,2,11,0
326,1,0,36,0,0,5,135.6333,65,0,8,1
327,3,1,61,0,0,7,6.2375,94,2,11,0
328,2,0,36,0,0,6,13.0,90,2,12,1
329,3,0,31,1,1,6,20.525,47,2,12,1
330,1,0,16,0,1,6,57.9792,17,0,8,1
331,3,0,5,2,0,7,23.25,78,1,8,1
332,1,1,45,0,0,6,28.5,56,2,11,0
333,1,1,38,0,1,5,153.4625,85,2,11,0
334,3,1,16,2,0,6,18.0,144,2,11,0
335,1,0,17,1,0,5,133.65,74,2,12,1
336,3,1,22,0,0,7,7.8958,96,2,11,0
337,1,1,29,1,0,6,66.6,61,2,11,0
338,1,0,41,0,0,7,134.5,127,0,8,1
339,3,1,45,0,0,7,8.05,62,2,11,1
340,1,1,45,0,0,6,35.5,146,2,11,0
341,2,1,2,1,1,7,26.0,141,2,7,1
342,1,0,24,3,2,7,263.0,63,2,8,1
343,2,1,28,0,0,6,13.0,47,2,11,0
344,2,1,25,0,0,7,13.0,20,2,11,0
345,2,1,36,0,0,7,13.0,63,2,11,0
346,2,0,24,0,0,6,13.0,142,2,8,1
347,2,0,40,0,0,6,13.0,144,2,8,1
348,3,0,36,1,0,6,16.1,98,2,12,1
349,3,1,3,1,1,4,15.9,35,2,7,1
350,3,1,42,0,0,7,8.6625,74,2,11,0
351,3,1,23,0,0,6,9.225,141,2,11,0
352,1,1,45,0,0,6,35.0,59,2,11,0
353,3,1,15,1,1,7,7.2292,55,0,11,0
354,3,1,25,1,0,6,17.8,55,2,11,0
355,3,1,30,0,0,6,7.225,58,0,11,0
356,3,1,28,0,0,6,9.5,63,2,11,0
357,1,0,22,0,1,6,55.0,123,2,8,1
358,2,0,38,0,0,6,13.0,140,2,8,0
359,3,0,26,0,0,7,7.8792,40,1,8,1
360,3,0,22,0,0,8,7.8792,63,1,8,1
361,3,1,40,1,4,7,27.9,55,2,11,0
362,2,1,29,1,0,5,27.7208,140,0,11,0
363,3,0,45,0,1,6,14.4542,32,0,12,0
364,3,1,35,0,0,7,7.05,90,2,11,0
365,3,1,36,1,0,8,15.5,145,1,11,0
366,3,1,30,0,0,6,7.25,71,2,11,0
367,1,0,60,1,0,6,75.25,104,0,12,1
368,3,0,22,0,0,7,7.2292,94,0,12,1
369,3,0,16,0,0,6,7.75,118,1,8,1
370,1,0,24,0,0,5,69.3,24,0,10,1
371,1,1,25,1,0,5,55.4417,131,0,11,1
372,3,1,18,1,0,6,6.4958,35,2,11,0
373,3,1,19,0,0,6,8.05,47,2,11,0
374,1,1,22,0,0,5,135.6333,78,0,11,0
375,3,0,3,3,1,8,21.075,118,2,8,0
376,1,0,49,1,0,5,82.1708,103,0,12,1
377,3,0,22,0,0,6,7.25,35,2,8,1
378,1,1,27,0,2,6,211.5,79,0,11,0
379,3,1,20,0,0,7,4.0125,40,0,11,0
380,3,1,19,0,0,7,7.775,87,2,11,0
381,1,0,42,0,0,5,227.525,35,0,8,1
382,3,0,1,0,2,7,15.7417,62,0,8,1
383,3,1,32,0,0,6,7.925,71,2,11,0
384,1,0,35,1,0,6,52.0,134,2,12,1
385,3,1,27,0,0,6,7.8958,116,2,11,0
386,2,1,18,0,0,6,73.5,141,2,11,0
387,3,1,1,5,2,4,46.9,118,2,7,0
388,2,0,36,0,0,6,13.0,145,2,8,1
389,3,1,22,0,0,7,7.7292,75,1,11,0
390,2,0,17,0,0,5,12.0,102,0,8,1
391,1,1,36,1,2,6,120.0,47,2,11,1
392,3,1,21,0,0,7,7.7958,90,2,11,1
393,3,1,28,2,0,6,7.925,137,2,11,0
394,1,0,23,1,0,5,113.275,103,0,8,1
395,3,0,24,0,2,7,16.7,145,2,12,1
396,3,1,22,0,0,6,7.7958,32,2,11,0
397,3,0,31,0,0,6,7.8542,62,2,8,0
398,2,1,46,0,0,7,26.0,144,2,11,0
399,2,1,23,0,0,6,10.5,21,2,3,0
400,2,0,28,0,0,7,12.65,31,2,12,1
401,3,1,39,0,0,6,7.925,31,2,11,1
402,3,1,26,0,0,7,8.05,96,2,11,0
403,3,0,21,1,0,6,9.825,118,2,8,0
404,3,1,28,1,0,7,15.85,103,2,11,0
405,3,0,20,0,0,7,8.6625,87,2,8,0
406,2,1,34,1,0,7,21.0,120,2,11,0
407,3,1,51,0,0,7,7.75,98,2,11,0
408,2,1,3,1,1,6,18.75,75,2,7,1
409,3,1,21,0,0,7,7.775,40,2,11,0
410,3,0,2,3,1,7,25.4667,57,2,8,0
411,3,1,29,0,0,7,7.8958,34,2,11,0
412,3,1,19,0,0,7,6.8583,121,1,11,0
413,1,0,33,1,0,7,90.0,78,1,8,1
414,2,1,61,0,0,7,0.0,90,2,11,0
415,3,1,44,0,0,6,7.925,145,2,11,1
416,3,0,28,0,0,8,8.05,140,2,12,0
417,2,0,34,1,1,7,32.5,101,2,12,1
418,2,0,18,0,2,6,13.0,128,2,8,1
419,2,1,30,0,0,7,13.0,55,2,11,0
420,3,0,10,0,2,6,24.15,134,2,8,0
421,3,1,29,0,0,7,7.8958,128,0,11,0
422,3,1,21,0,0,4,7.7333,61,1,11,0
423,3,1,29,0,0,7,7.875,35,2,11,0
424,3,0,28,1,1,7,14.4,34,2,12,0
425,3,1,18,1,1,7,20.2125,116,2,11,0
426,3,1,35,0,0,6,7.25,102,2,11,0
427,2,0,28,1,0,7,26.0,90,2,12,1
428,2,0,19,0,0,7,26.0,120,2,8,1
429,3,1,22,0,0,6,7.75,31,1,11,0
430,3,1,32,0,0,9,8.05,115,2,11,1
431,1,1,28,0,0,6,26.55,71,2,11,1
432,3,0,24,1,0,7,16.1,80,2,12,1
433,2,0,42,1,0,6,26.0,31,2,12,1
434,3,1,17,0,0,6,7.125,17,2,11,0
435,1,1,50,1,0,6,55.9,128,2,11,0
436,1,0,14,1,2,6,120.0,47,2,8,1
437,3,0,21,2,2,7,34.375,36,2,8,0
438,2,0,24,2,3,6,18.75,144,2,12,1
439,1,1,64,1,4,7,263.0,63,2,11,0
440,2,1,31,0,0,4,10.5,71,2,11,0
441,2,0,45,1,1,6,26.25,31,2,12,1
442,3,1,20,0,0,6,9.5,62,2,11,0
443,3,1,25,1,0,7,7.775,19,2,11,0
444,2,0,28,0,0,7,13.0,21,2,13,1
445,3,1,19,0,0,7,8.1125,144,2,11,1
446,1,1,4,0,2,8,81.8583,10,2,7,1
